supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts
S_00050,"Harris, Collins and Carney",Asia-Pacific,Biotech,588790,372681,7,443763,59,6,74,0.53,9,Low,685,2025-11-01 10:05:48.068647+00:00
S_00051,"Brooks, Lam and Hayes",LATAM,Facilities,213845,86168,45,636236,54,6,76,0.89,8,Medium,811,2025-11-01 10:05:48.069004+00:00
S_00052,Walker LLC,Europe,Facilities,4631289,2360618,55,1028465,7,6,71,0.84,10,Medium,794,2025-11-01 10:05:48.069557+00:00
S_00053,Chapman and Sons,LATAM,Logistics,3441654,3064314,68,66552,31,9,86,0.78,10,High,773,2025-11-01 10:05:48.069981+00:00
S_00054,"Robinson, Jones and Welch",LATAM,Logistics,3645464,1549841,48,696508,19,7,70,0.31,5,Medium,608,2025-11-01 10:05:48.070591+00:00
S_00055,Jones Inc,LATAM,IT Services,3230341,2640659,60,50649,53,8,53,0.42,5,High,647,2025-11-01 10:05:48.070773+00:00
S_00056,Jones-Young,North America,Manufacturing,625612,547289,25,1769990,7,9,59,0.82,3,High,787,2025-11-01 10:05:48.071001+00:00
S_00057,"Washington, Ryan and Cummings",Europe,Facilities,1009568,756905,47,361879,44,9,97,0.65,1,Medium,727,2025-11-01 10:05:48.071421+00:00
S_00058,"Johnston, Sanchez and Kennedy",North America,Biotech,1423767,587786,39,1217533,49,6,75,0.97,3,High,839,2025-11-01 10:05:48.071961+00:00
S_00059,Lee-Davis,Asia-Pacific,Biotech,2087168,1675503,72,1651305,8,5,84,0.28,6,Medium,598,2025-11-01 10:05:48.072408+00:00
S_00060,Gomez-Jenkins,Asia-Pacific,Manufacturing,628451,518338,62,231331,33,5,90,0.6,7,Medium,710,2025-11-01 10:05:48.072691+00:00
S_00061,"Brown, Valdez and Lucas",Asia-Pacific,Biotech,3703130,2977685,68,1634540,36,7,77,0.34,9,High,619,2025-11-01 10:05:48.073038+00:00
S_00062,Powell LLC,North America,IT Services,2109362,1773584,31,1583862,35,9,89,0.86,10,Medium,801,2025-11-01 10:05:48.073224+00:00
S_00063,Wright and Sons,Asia-Pacific,Logistics,290753,187179,45,1683175,22,5,67,0.6,9,Medium,710,2025-11-01 10:05:48.073333+00:00
S_00064,"West, Henderson and Ramirez",Europe,Manufacturing,2367508,1232709,52,1034622,41,12,65,0.64,7,Medium,724,2025-11-01 10:05:48.073608+00:00
S_00065,Baxter Inc,North America,Manufacturing,4167307,2280007,51,1460782,21,4,92,0.56,9,Medium,696,2025-11-01 10:05:48.073731+00:00
S_00066,Morton-Chase,LATAM,Biotech,4692867,2653326,89,961572,23,4,66,0.62,3,High,717,2025-11-01 10:05:48.073929+00:00
S_00067,Williams PLC,Europe,Logistics,1665514,846401,61,589861,52,9,98,0.45,8,Medium,657,2025-11-01 10:05:48.074056+00:00
S_00068,Novak and Sons,Asia-Pacific,Logistics,893274,518492,38,39671,51,8,58,0.87,4,High,804,2025-11-01 10:05:48.074165+00:00
S_00069,Russell Group,Europe,Facilities,507397,228985,1,1213899,24,7,80,0.64,7,Medium,724,2025-11-01 10:05:48.074256+00:00
S_00070,Hancock Inc,LATAM,Manufacturing,480979,390101,51,1041267,10,9,90,0.4,10,High,640,2025-11-01 10:05:48.074355+00:00
S_00071,Gray Group,Asia-Pacific,Manufacturing,1301560,1167446,15,1180363,54,6,88,0.85,9,Medium,797,2025-11-01 10:05:48.074450+00:00
S_00072,House-Glover,LATAM,Facilities,1943200,1659982,38,1813900,43,6,69,0.82,9,Medium,787,2025-11-01 10:05:48.074652+00:00
S_00073,Henderson-Bernard,Europe,Logistics,882431,469738,10,339372,21,2,85,0.96,1,High,836,2025-11-01 10:05:48.074824+00:00
S_00074,"Stanley, Tucker and Lee",LATAM,IT Services,3476893,1447499,36,1492593,24,11,79,0.56,1,Medium,696,2025-11-01 10:05:48.075065+00:00
S_00075,Novak PLC,Europe,Facilities,2269245,1037925,28,1368188,15,4,59,0.83,1,High,790,2025-11-01 10:05:48.075167+00:00
S_00076,"Daniels, Adkins and Brown",Asia-Pacific,Facilities,2630434,1215725,88,647725,50,6,67,0.68,8,Medium,738,2025-11-01 10:05:48.075394+00:00
S_00077,"Woods, Calhoun and Schmidt",North America,Facilities,3722187,2855911,77,535059,7,1,64,0.26,10,Low,591,2025-11-01 10:05:48.075638+00:00
S_00078,Yu Inc,North America,IT Services,4875119,3354683,22,996711,39,10,78,0.67,4,High,734,2025-11-01 10:05:48.075746+00:00
S_00079,Jones Inc,LATAM,Manufacturing,4960100,3149689,52,708998,26,10,56,0.55,2,Medium,692,2025-11-01 10:05:48.075845+00:00
S_00080,"Hensley, Powell and David",LATAM,Biotech,4206295,1759697,11,669590,22,5,57,0.43,6,Low,650,2025-11-01 10:05:48.076080+00:00
S_00081,"Sanchez, Wheeler and Harvey",LATAM,Facilities,59655,25478,66,768706,45,12,81,0.73,10,Medium,755,2025-11-01 10:05:48.076318+00:00
S_00082,Sandoval-Cunningham,Europe,IT Services,482950,298974,89,1026514,13,0,90,0.36,9,Medium,626,2025-11-01 10:05:48.076478+00:00
S_00083,Donovan-Harris,North America,Biotech,1378572,832651,28,1774555,13,7,57,0.45,10,Low,657,2025-11-01 10:05:48.076650+00:00
S_00084,"Edwards, Baker and Anderson",Asia-Pacific,Biotech,4230676,3184454,53,1760542,36,7,65,0.95,7,Medium,832,2025-11-01 10:05:48.076889+00:00
S_00085,"Evans, Stewart and Walton",Europe,Manufacturing,3267752,1758454,53,722770,56,8,67,0.35,0,High,622,2025-11-01 10:05:48.077134+00:00
S_00086,Smith PLC,LATAM,Logistics,2554467,1592132,61,733777,27,8,98,0.87,8,Medium,804,2025-11-01 10:05:48.077238+00:00
S_00087,"Ferrell, Jones and Lewis",Europe,Biotech,2749264,1626149,52,101535,26,11,80,0.9,6,Medium,815,2025-11-01 10:05:48.077486+00:00
S_00088,Anderson-Bailey,North America,Logistics,1325951,863387,75,706243,12,7,56,0.6,8,Low,710,2025-11-01 10:05:48.077651+00:00
S_00089,Suarez LLC,LATAM,Logistics,178744,78185,33,720014,45,11,75,0.78,10,High,773,2025-11-01 10:05:48.077748+00:00
S_00090,Moore-Bass,LATAM,IT Services,2806207,2001946,62,1839519,40,0,89,0.88,1,High,808,2025-11-01 10:05:48.077919+00:00
S_00091,"Turner, Riggs and Roman",North America,Facilities,2460709,2187985,81,1486166,12,7,60,1.0,4,Low,850,2025-11-01 10:05:48.078176+00:00
S_00092,"Smith, Montoya and Evans",North America,IT Services,435800,252429,55,315281,21,8,76,0.46,9,Medium,661,2025-11-01 10:05:48.078413+00:00
S_00093,"Garcia, Humphrey and Baker",North America,Biotech,1560426,1303610,79,1442637,21,7,87,0.34,2,High,619,2025-11-01 10:05:48.078655+00:00
S_00094,Newton and Sons,North America,Facilities,2180516,1854757,86,1156299,16,1,78,0.57,5,Low,699,2025-11-01 10:05:48.078751+00:00
S_00095,Campbell-Clark,LATAM,IT Services,2559487,1608427,38,427788,30,7,56,0.71,3,Medium,748,2025-11-01 10:05:48.078909+00:00
S_00096,Harris-Walters,Asia-Pacific,Manufacturing,3061167,2721292,84,840064,23,0,86,0.66,10,Medium,731,2025-11-01 10:05:48.079089+00:00
S_00097,Wagner-King,LATAM,IT Services,461412,363532,29,1283107,57,5,64,0.93,10,High,825,2025-11-01 10:05:48.079260+00:00
S_00098,Davis Group,Europe,Manufacturing,2152409,1833210,82,92675,25,12,78,0.74,0,Medium,759,2025-11-01 10:05:48.079389+00:00
S_00099,Williams-Cook,Asia-Pacific,IT Services,1152362,891629,22,431097,14,12,84,0.27,5,Medium,594,2025-11-01 10:05:48.079628+00:00
S_00100,Walsh LLC,Asia-Pacific,Facilities,2336125,2064415,37,1575648,27,12,57,0.86,7,Low,801,2025-11-01 10:05:48.079735+00:00
S_00101,Figueroa PLC,Europe,Facilities,1230755,1087538,71,777085,11,12,75,0.8,0,High,780,2025-11-01 10:05:48.079851+00:00
S_00102,"Patterson, Smith and Jones",Asia-Pacific,Biotech,1086737,641732,81,1981935,29,1,93,0.56,3,Medium,696,2025-11-01 10:05:48.080103+00:00
S_00103,"Mckee, Gardner and Davenport",Europe,Manufacturing,4759426,3415849,59,1917124,50,4,91,0.46,6,High,661,2025-11-01 10:05:48.080343+00:00
S_00104,"Tran, Jordan and Williams",Asia-Pacific,Facilities,430396,197147,30,1870717,40,2,74,0.96,7,Medium,836,2025-11-01 10:05:48.080589+00:00
S_00105,Nolan-Flynn,Europe,Facilities,4581463,3332835,62,1301116,32,4,52,0.54,5,High,689,2025-11-01 10:05:48.080761+00:00
S_00106,Nolan and Sons,Asia-Pacific,Manufacturing,3780379,3366290,47,1151827,47,5,53,0.96,6,High,836,2025-11-01 10:05:48.080858+00:00
S_00107,"Wright, Garcia and Deleon",LATAM,Manufacturing,1074749,786054,82,1351113,44,0,53,0.96,5,High,836,2025-11-01 10:05:48.081095+00:00
S_00108,Dickson-Brady,Europe,Manufacturing,1106326,901554,70,444440,43,3,64,0.83,5,Medium,790,2025-11-01 10:05:48.081255+00:00
S_00109,Hancock and Sons,Europe,Logistics,73786,49444,22,240532,48,0,58,0.42,0,Medium,647,2025-11-01 10:05:48.081356+00:00
S_00110,Johnson-Doyle,North America,Logistics,2045914,1089825,16,1565495,32,8,57,0.67,1,Medium,734,2025-11-01 10:05:48.081519+00:00
S_00111,Patton-Jenkins,North America,Facilities,3087003,2012476,78,100943,52,12,92,0.61,8,Medium,713,2025-11-01 10:05:48.081709+00:00
S_00112,"Shields, Cochran and Adams",LATAM,Facilities,311310,190875,13,1038168,51,7,54,0.25,1,Medium,587,2025-11-01 10:05:48.082132+00:00
S_00113,"Rodriguez, Brennan and Garrison",Asia-Pacific,Biotech,1294314,927425,70,1503492,26,6,88,0.25,8,High,587,2025-11-01 10:05:48.082515+00:00
S_00114,Gonzalez Group,North America,Manufacturing,4290869,3545958,83,1850683,55,8,96,0.68,3,Medium,738,2025-11-01 10:05:48.082717+00:00
S_00115,Torres-Pope,LATAM,Facilities,1966743,1195769,12,665461,33,5,92,0.53,4,Medium,685,2025-11-01 10:05:48.082946+00:00
S_00116,Walker Ltd,LATAM,Manufacturing,1330428,592855,10,205517,33,1,97,0.75,5,Low,762,2025-11-01 10:05:48.083089+00:00
S_00117,Ross LLC,Asia-Pacific,Manufacturing,4717176,2855798,85,1983692,54,6,96,0.25,0,Low,587,2025-11-01 10:05:48.083228+00:00
S_00118,Rasmussen LLC,Europe,Logistics,2671011,1945479,28,1786864,12,5,85,0.48,5,High,668,2025-11-01 10:05:48.083323+00:00
S_00119,May-Ross,LATAM,Biotech,2386799,2117743,79,1296756,49,10,85,0.66,0,Medium,731,2025-11-01 10:05:48.083501+00:00
S_00120,"Rivera, Johnson and Wiley",Asia-Pacific,IT Services,2293514,1974185,44,22804,17,2,86,0.22,10,Medium,577,2025-11-01 10:05:48.083781+00:00
S_00121,White-Estes,North America,Manufacturing,1240130,958689,27,798936,32,7,71,0.79,2,Medium,776,2025-11-01 10:05:48.084106+00:00
S_00122,Johnson-Carlson,North America,Manufacturing,2771120,1324013,79,114359,49,1,67,0.82,7,Medium,787,2025-11-01 10:05:48.084564+00:00
S_00123,Chandler-Edwards,LATAM,IT Services,4124025,2094115,65,248692,28,6,57,0.69,4,Medium,741,2025-11-01 10:05:48.084881+00:00
S_00124,"Joyce, Wilson and Lam",Asia-Pacific,Manufacturing,4132171,2108478,76,124886,6,3,69,0.62,3,Medium,717,2025-11-01 10:05:48.085265+00:00
S_00125,Scott Ltd,North America,Manufacturing,2193452,1422876,55,378458,14,6,84,0.43,3,Medium,650,2025-11-01 10:05:48.085402+00:00
S_00126,Smith-Frost,North America,Facilities,3020969,1236696,9,1817975,26,9,77,0.26,9,Medium,591,2025-11-01 10:05:48.085626+00:00
S_00127,"Mcdaniel, Bentley and Mclaughlin",LATAM,Manufacturing,3553870,3138422,21,1690494,45,7,94,0.43,5,High,650,2025-11-01 10:05:48.085880+00:00
S_00128,Diaz Inc,LATAM,Biotech,938044,412104,39,1574066,27,3,71,0.39,2,High,636,2025-11-01 10:05:48.085978+00:00
S_00129,"Mccall, Hanson and Alvarado",Europe,IT Services,1006524,579304,82,1719256,15,3,56,0.62,2,High,717,2025-11-01 10:05:48.086248+00:00
S_00130,Cortez LLC,North America,Logistics,1505415,1318210,80,1046238,35,12,86,0.68,9,Medium,738,2025-11-01 10:05:48.086351+00:00
S_00131,"Parker, Ortiz and Powell",Asia-Pacific,IT Services,4785300,2275308,8,993398,34,10,69,0.71,4,Medium,748,2025-11-01 10:05:48.086621+00:00
S_00132,Spencer-Lee,Asia-Pacific,Facilities,3002305,1879313,7,783298,59,4,54,0.61,10,Low,713,2025-11-01 10:05:48.086800+00:00
S_00133,"Bentley, Byrd and Orr",LATAM,Facilities,807461,557281,5,953159,57,9,91,0.69,3,Medium,741,2025-11-01 10:05:48.087052+00:00
S_00134,"Carroll, Sullivan and Bass",North America,Facilities,4039865,1825012,43,1508028,11,8,91,0.6,2,High,710,2025-11-01 10:05:48.087321+00:00
S_00135,Mitchell-Jordan,Europe,IT Services,3722182,2182784,36,822471,32,12,71,0.99,10,Medium,846,2025-11-01 10:05:48.087496+00:00
S_00136,"Lawson, Morris and Ramos",North America,Biotech,2857242,2112043,36,538473,52,10,88,0.25,2,Medium,587,2025-11-01 10:05:48.087760+00:00
S_00137,"Lewis, Kennedy and Santana",Asia-Pacific,IT Services,4938373,4364772,89,1398598,31,2,88,0.73,1,Medium,755,2025-11-01 10:05:48.088092+00:00
S_00138,"Jackson, Miller and Robertson",Asia-Pacific,Logistics,3209815,2359400,87,1923542,39,1,91,0.71,10,Medium,748,2025-11-01 10:05:48.088528+00:00
S_00139,"Harvey, Davis and Crane",Asia-Pacific,Logistics,3085234,2701383,43,1997404,55,7,62,0.21,3,Low,573,2025-11-01 10:05:48.088958+00:00
S_00140,Chambers and Sons,North America,Biotech,1349774,1060162,67,89162,48,5,99,0.26,9,High,591,2025-11-01 10:05:48.089147+00:00
S_00141,Hernandez Inc,Europe,Biotech,3210155,2582639,21,1522430,34,0,76,0.32,5,Medium,612,2025-11-01 10:05:48.089315+00:00
S_00142,Riggs PLC,Asia-Pacific,Facilities,2042547,1055999,30,659001,57,12,80,0.98,3,Medium,843,2025-11-01 10:05:48.089467+00:00
S_00143,Gibson Ltd,LATAM,IT Services,4835024,3815133,64,1116163,32,2,62,0.99,9,High,846,2025-11-01 10:05:48.089627+00:00
S_00144,"Lee, Horton and Snyder",LATAM,IT Services,2147178,1454220,13,1501915,60,8,57,0.24,4,High,584,2025-11-01 10:05:48.090009+00:00
S_00145,Hernandez Ltd,Europe,Facilities,1394797,621879,28,1722750,34,5,51,0.42,6,High,647,2025-11-01 10:05:48.090190+00:00
S_00146,Stafford Inc,LATAM,Manufacturing,4261140,2503233,3,678330,12,11,91,0.5,5,Medium,675,2025-11-01 10:05:48.090348+00:00
S_00147,Robinson-Brock,LATAM,Logistics,1204269,938632,60,950785,45,0,55,0.23,0,High,580,2025-11-01 10:05:48.090650+00:00
S_00148,"Holmes, Williams and Wright",LATAM,Manufacturing,1304261,1027870,30,641559,13,0,65,0.64,6,Medium,724,2025-11-01 10:05:48.091059+00:00
S_00149,Bryant Group,LATAM,Biotech,3884546,2594981,80,1090821,42,3,95,0.25,2,High,587,2025-11-01 10:05:48.091197+00:00
S_00150,"Schmidt, Hansen and Stewart",Europe,Biotech,63122,38396,85,1411348,11,8,73,0.69,1,Low,741,2025-11-01 10:05:48.091452+00:00
S_00151,Salazar-Ball,North America,Facilities,4614090,3860450,5,1343098,30,5,66,0.61,0,Medium,713,2025-11-01 10:05:48.091643+00:00
S_00152,"Simmons, Meadows and Griffin",North America,Biotech,616730,473397,42,289780,8,5,84,0.48,5,Low,668,2025-11-01 10:05:48.091897+00:00
S_00153,Manning Group,LATAM,Facilities,1518754,1087227,17,142331,51,12,79,0.86,0,High,801,2025-11-01 10:05:48.091997+00:00
S_00154,Green-Wright,North America,IT Services,417473,361817,65,845136,58,8,80,0.83,4,High,790,2025-11-01 10:05:48.092186+00:00
S_00155,"Ramirez, Strickland and Washington",North America,IT Services,1653091,887062,47,926353,31,11,78,0.43,6,Medium,650,2025-11-01 10:05:48.092438+00:00
S_00156,Hill Inc,LATAM,IT Services,1617136,1394222,66,569353,57,1,96,0.6,6,High,710,2025-11-01 10:05:48.092539+00:00
S_00157,"Mitchell, Nelson and Flores",Asia-Pacific,Manufacturing,1563778,688116,84,630001,25,7,88,0.64,6,High,724,2025-11-01 10:05:48.092805+00:00
S_00158,"Miller, Hernandez and Reyes",North America,IT Services,3773773,2669664,55,585784,46,12,53,0.48,1,Medium,668,2025-11-01 10:05:48.093072+00:00
S_00159,Mccarthy Inc,Europe,Manufacturing,3457538,1629847,77,1432055,56,7,52,0.49,2,High,671,2025-11-01 10:05:48.093205+00:00
S_00160,Russell-Daniels,North America,Biotech,3122985,1488786,57,1999827,29,5,78,0.49,1,Medium,671,2025-11-01 10:05:48.093392+00:00
S_00161,Brown-Wall,Asia-Pacific,IT Services,4491431,2357129,14,64344,53,2,81,0.49,8,Medium,671,2025-11-01 10:05:48.093570+00:00
S_00162,Stein-Silva,Asia-Pacific,Facilities,4761652,2415515,78,608898,50,7,62,0.29,1,High,601,2025-11-01 10:05:48.093752+00:00
S_00163,"Smith, Gilmore and Johnston",LATAM,Manufacturing,671193,540482,40,1410561,28,11,54,0.56,8,Medium,696,2025-11-01 10:05:48.094018+00:00
S_00164,Smith-Bell,Europe,IT Services,2566218,1679276,15,431486,56,2,65,0.88,7,High,808,2025-11-01 10:05:48.094217+00:00
S_00165,Castaneda-Ashley,LATAM,Biotech,4697468,2183785,11,147883,25,6,95,0.66,7,Medium,731,2025-11-01 10:05:48.094406+00:00
S_00166,Medina-Navarro,North America,Logistics,3484577,3087996,82,165535,34,7,93,0.86,8,Medium,801,2025-11-01 10:05:48.094598+00:00
S_00167,"Hurst, Freeman and Nelson",Europe,Logistics,4674668,2881040,7,1753552,13,8,59,0.71,4,High,748,2025-11-01 10:05:48.094864+00:00
S_00168,Johnson-Rogers,Europe,IT Services,2756674,2408620,66,1886795,24,1,66,0.95,3,Medium,832,2025-11-01 10:05:48.095050+00:00
S_00169,"Yates, Ramsey and Pittman",Asia-Pacific,Biotech,4670792,3114199,64,1354248,16,9,87,0.42,2,High,647,2025-11-01 10:05:48.095442+00:00
S_00170,Hooper PLC,North America,Manufacturing,2882158,1269911,82,1626951,42,4,91,0.87,3,Medium,804,2025-11-01 10:05:48.095633+00:00
S_00171,Meadows PLC,North America,Facilities,3544583,2993394,69,617485,47,4,80,0.69,3,Low,741,2025-11-01 10:05:48.095764+00:00
S_00172,"Alvarado, Miller and Patterson",North America,Manufacturing,3456551,1655826,53,1025548,35,3,71,0.44,9,High,654,2025-11-01 10:05:48.096032+00:00
S_00173,White-Green,Asia-Pacific,Facilities,2728620,1269853,47,1089991,41,1,70,0.79,3,Medium,776,2025-11-01 10:05:48.096246+00:00
S_00174,Lewis-Murphy,Europe,Manufacturing,2293715,975523,49,1822282,45,6,65,0.56,2,Low,696,2025-11-01 10:05:48.096442+00:00
S_00175,Ramirez-Bean,Europe,Logistics,4895990,3178147,65,988982,37,4,81,0.78,0,High,773,2025-11-01 10:05:48.096624+00:00
S_00176,King-Miller,Europe,Logistics,3348754,2316239,6,115990,24,7,88,0.6,10,Medium,710,2025-11-01 10:05:48.096816+00:00
S_00177,Curry Inc,North America,Facilities,2447031,1142683,33,1535694,29,12,75,0.63,5,High,720,2025-11-01 10:05:48.096931+00:00
S_00178,Walker-Jones,Europe,IT Services,479141,324192,9,820232,38,7,98,0.66,8,High,731,2025-11-01 10:05:48.097130+00:00
S_00179,"Williams, Johnson and Wright",North America,Facilities,1046659,613969,43,1179858,29,12,59,0.3,3,Medium,605,2025-11-01 10:05:48.097382+00:00
S_00180,Howell and Sons,North America,Manufacturing,3417078,1600963,42,1696038,36,8,79,0.6,2,Medium,710,2025-11-01 10:05:48.097493+00:00
